endpoint_index	meddra_pt_code	meddra_pt_name	positive_frequency_decile	split
0	10000059	Abdominal discomfort	5	test
1	10000060	Abdominal distension	8	training
2	10000077	Abdominal mass	1	test
3	10000081	Abdominal pain	9	test
4	10000084	Abdominal pain lower	3	training
5	10000087	Abdominal pain upper	8	training
6	10000097	Abdominal tenderness	4	training
7	10000125	Abnormal dreams	2	training
8	10000234	Abortion spontaneous	1	training
9	10000269	Abscess	6	training
10	10000381	Accidental overdose	4	training
11	10000486	Acidosis	6	test
12	10000496	Acne	0	test
13	10000614	Actinic keratosis	3	training
14	10000620	Actinomycosis	3	test
15	10000636	Activated partial thromboplastin time prolonged	5	training
16	10000804	Acute hepatic failure	3	training
17	10000880	Acute myeloid leukaemia	6	training
18	10000891	Acute myocardial infarction	8	test
19	10001017	Acute prerenal failure	4	training
20	10001029	Acute pulmonary oedema	5	training
21	10001052	Acute respiratory distress syndrome	7	training
22	10001053	Acute respiratory failure	8	training
23	10001076	Acute sinusitis	5	training
24	10001367	Adrenal insufficiency	5	training
25	10001443	Affective disorder	4	training
26	10001488	Aggression	7	test
27	10001497	Agitation	8	training
28	10001507	Agranulocytosis	7	training
29	10001540	Akathisia	3	training
30	10001551	Alanine aminotransferase increased	9	training
31	10001584	Alcohol abuse	1	training
32	10001639	Alcoholism	0	training
33	10001760	Alopecia	7	training
34	10001854	Altered state of consciousness	7	test
35	10001889	Alveolitis	0	test
36	10001949	Amnesia	7	training
37	10002034	Anaemia	9	training
38	10002064	Anaemia macrocytic	0	training
39	10002073	Anaemia of chronic disease	1	training
40	10002198	Anaphylactic reaction	6	training
41	10002199	Anaphylactic shock	3	test
42	10002329	Aneurysm	1	training
43	10002368	Anger	5	training
44	10002383	Angina pectoris	9	training
45	10002388	Angina unstable	8	training
46	10002424	Angioedema	5	training
47	10002511	Anhedonia	9	training
48	10002544	Ankle fracture	6	test
49	10002646	Anorexia	6	training
50	10002847	Anuria	5	training
51	10002855	Anxiety	9	training
52	10002882	Aortic aneurysm	6	training
53	10002906	Aortic stenosis	6	test
54	10002915	Aortic valve incompetence	8	training
55	10002917	Aortic valve sclerosis	3	training
56	10002918	Aortic valve stenosis	1	training
57	10002942	Apathy	1	training
58	10002948	Aphasia	6	training
59	10002965	Aplasia pure red cell	1	test
60	10002967	Aplastic anaemia	0	training
61	10002974	Apnoea	3	training
62	10003084	Areflexia	1	validation
63	10003119	Arrhythmia	7	training
64	10003130	Arrhythmia supraventricular	0	training
65	10003210	Arteriosclerosis	9	training
66	10003211	Arteriosclerosis coronary artery	8	training
67	10003239	Arthralgia	9	training
