endpoint_index	meddra_pt_code	positive_frequency_decile	split
0	10000059	5	test
1	10000060	8	test
2	10000077	1	training
3	10000081	9	test
4	10000084	3	training
5	10000087	8	test
6	10000097	4	training
7	10000125	2	training
8	10000234	1	test
9	10000269	6	validation
10	10000381	4	training
11	10000486	6	test
12	10000496	0	training
13	10000614	3	test
14	10000620	3	training
15	10000636	5	training
16	10000804	3	training
17	10000880	6	validation
18	10000891	8	test
19	10001017	4	test
20	10001029	5	training
21	10001052	7	training
22	10001053	8	training
23	10001076	5	training
24	10001367	5	training
25	10001443	4	test
26	10001488	7	training
27	10001497	8	test
28	10001507	7	training
29	10001540	3	training
30	10001551	9	training
31	10001584	1	training
32	10001639	0	validation
33	10001760	7	training
34	10001854	7	training
35	10001889	0	test
36	10001949	7	training
37	10002034	9	validation
38	10002064	0	test
39	10002073	1	training
40	10002198	6	training
41	10002199	3	test
42	10002329	1	training
43	10002368	5	training
44	10002383	9	training
45	10002388	8	training
46	10002424	5	training
47	10002511	9	training
48	10002544	6	training
49	10002646	6	training
50	10002847	5	training
51	10002855	9	training
52	10002882	6	training
53	10002906	6	training
54	10002915	8	training
55	10002917	3	validation
56	10002918	1	validation
57	10002942	1	test
58	10002948	6	training
59	10002965	1	training
60	10002967	0	training
61	10002974	3	training
62	10003084	1	training
63	10003119	7	validation
64	10003130	0	validation
65	10003210	9	training
66	10003211	8	training
67	10003239	9	training
68	10003246	9	training
69	10003285	8	training
70	10003399	3	training
71	10003445	8	training
72	10003481	9	training
73	10003488	2	training
74	10003504	7	training
75	10003549	9	validation
76	10003553	9	training
77	10003591	6	training
78	10003598	9	training
79	10003658	9	training
80	10003662	7	training
81	10003668	3	validation
82	10003671	4	validation
83	10003673	5	training
84	10003674	7	training
85	10003677	1	training
86	10003694	1	training
87	10003736	2	test
88	10003885	7	training
89	10003983	5	training
90	10003986	5	training
91	10003988	9	training
92	10003997	7	training
93	10004137	3	training
94	10004146	6	test
95	10004446	6	training
96	10004663	0	training
97	10004939	2	validation
98	10005169	2	test
99	10005191	6	validation
100	10005287	7	test
101	10005328	0	training
102	10005364	8	training
103	10005395	6	training
104	10005396	1	training
105	10005419	5	test
106	10005423	1	training
107	10005425	9	test
108	10005464	2	training
109	10005470	7	test
110	10005483	9	training
111	10005488	5	training
112	10005554	1	training
113	10005555	6	training
114	10005557	8	training
115	10005619	1	training
116	10005630	7	training
117	10005654	6	test
118	10005724	8	validation
119	10005725	7	training
120	10005734	8	test
121	10005737	3	training
122	10005746	3	validation
123	10005750	7	training
124	10005760	5	validation
125	10005802	8	training
126	10005839	8	training
127	10005851	9	training
128	10005861	2	training
129	10005911	2	training
130	10005956	9	training
131	10006002	8	training
132	10006093	9	training
133	10006187	3	training
134	10006272	5	training
135	10006326	0	test
136	10006445	3	training
137	10006451	9	training
138	10006458	3	training
139	10006469	6	training
140	10006473	4	training
141	10006482	6	training
142	10006514	3	training
143	10006578	0	test
144	10006580	7	test
145	10006582	6	validation
146	10006784	5	test
147	10006811	8	training
148	10006825	8	training
149	10006895	5	validation
150	10006924	2	training
151	10006956	3	training
152	10007152	7	test
153	10007515	8	training
154	10007554	9	training
155	10007556	3	validation
156	10007558	1	training
157	10007559	9	validation
158	10007586	8	test
159	10007598	2	training
160	10007610	1	test
161	10007617	8	training
162	10007625	6	training
163	10007632	9	test
164	10007636	8	training
165	10007687	7	training
166	10007697	8	training
167	10007739	8	training
168	10007810	1	training
169	10007815	3	training
170	10007882	9	training
171	10008096	7	training
172	10008111	6	training
173	10008118	7	training
174	10008120	5	training
175	10008190	8	test
176	10008196	0	training
177	10008313	4	training
178	10008469	8	training
179	10008479	9	training
180	10008499	5	training
181	10008531	7	test
182	10008589	2	validation
183	10008604	0	training
184	10008611	4	training
185	10008612	7	training
186	10008614	4	training
187	10008617	7	training
188	10008629	9	training
189	10008635	7	test
190	10008748	1	training
191	10008796	2	test
192	10009033	9	training
193	10009137	5	training
194	10009192	6	training
195	10009245	1	training
196	10009657	8	training
197	10009802	8	training
198	10009866	3	test
199	10009887	7	test
200	10009895	5	training
201	10009900	2	training
202	10009944	1	training
203	10010003	6	test
204	10010071	7	training
205	10010144	7	training
206	10010185	1	training
207	10010214	7	validation
208	10010235	6	test
209	10010254	1	test
210	10010264	8	training
211	10010276	1	test
212	10010305	9	test
213	10010719	0	training
214	10010741	6	training
215	10010774	9	training
216	10010904	8	test
217	10010947	4	training
218	10010968	1	training
219	10011078	9	test
220	10011086	6	training
221	10011089	7	validation
222	10011219	2	training
223	10011224	9	training
224	10011372	1	training
225	10011376	3	training
226	10011401	5	validation
227	10011469	3	training
228	10011640	2	training
229	10011703	5	training
230	10011732	4	test
231	10011781	6	training
232	10011793	1	training
233	10011831	6	training
234	10011878	7	training
235	10011891	2	training
236	10011906	5	training
237	10011953	0	training
238	10011971	6	training
239	10011985	7	training
240	10012174	9	training
241	10012218	8	test
242	10012239	5	training
243	10012267	7	training
244	10012271	3	training
245	10012305	1	training
246	10012318	8	test
247	10012335	2	training
248	10012373	8	training
249	10012374	5	training
250	10012378	9	training
251	10012426	1	training
252	10012431	6	training
253	10012432	0	test
254	10012441	2	training
255	10012442	0	training
256	10012455	4	training
257	10012601	9	training
258	10012607	9	training
259	10012613	4	test
260	10012650	5	training
261	10012671	7	training
262	10012680	8	test
263	10012689	5	training
264	10012735	9	training
265	10012794	2	training
266	10013002	5	training
267	10013012	6	training
268	10013036	6	training
269	10013050	7	training
270	10013082	3	test
271	10013395	7	training
272	10013442	8	training
273	10013496	6	training
274	10013538	8	training
275	10013554	9	validation
276	10013559	6	training
277	10013573	9	training
278	10013578	1	training
279	10013654	5	test
280	10013663	7	validation
281	10013678	2	training
282	10013687	5	test
283	10013700	8	training
284	10013709	4	training
285	10013710	9	training
286	10013722	5	test
287	10013746	7	training
288	10013754	6	training
289	10013774	4	training
290	10013781	8	training
291	10013786	6	training
292	10013836	4	training
293	10013839	0	training
294	10013864	6	validation
295	10013886	2	test
296	10013887	8	training
297	10013911	6	test
298	10013916	8	validation
299	10013946	9	training
300	10013950	9	training
301	10013952	7	training
302	10013968	9	training
303	10013971	9	training
304	10013974	2	training
305	10013983	4	training
306	10013990	8	training
307	10014011	2	validation
308	10014020	8	training
309	10014062	4	test
310	10014080	7	test
311	10014184	6	training
312	10014363	6	test
313	10014380	0	training
314	10014387	7	training
315	10014391	2	training
316	10014392	0	training
317	10014408	0	training
318	10014418	7	validation
319	10014498	0	training
320	10014551	8	training
321	10014561	8	validation
322	10014581	1	validation
323	10014625	8	test
324	10014665	3	training
325	10014866	2	training
326	10014893	3	training
327	10014945	2	training
328	10014950	6	training
329	10015037	4	validation
330	10015090	8	test
331	10015108	1	training
332	10015137	2	training
333	10015145	0	training
334	10015150	7	training
335	10015218	2	training
336	10015296	1	test
337	10015488	6	training
338	10015688	8	training
339	10015832	7	training
340	10015856	2	training
341	10015916	0	training
342	10015946	0	training
343	10015958	2	test
344	10015995	1	test
345	10016029	4	training
346	10016042	1	training
347	10016059	5	training
348	10016092	5	training
349	10016100	3	training
350	10016165	6	training
351	10016173	9	training
352	10016215	3	test
353	10016256	9	test
354	10016275	8	training
355	10016288	9	training
356	10016322	5	training
357	10016326	0	training
358	10016330	0	training
359	10016334	4	validation
360	10016338	3	training
361	10016450	1	training
362	10016454	4	training
363	10016581	1	training
364	10016642	6	training
365	10016667	2	validation
366	10016717	4	training
367	10016750	7	validation
368	10016759	0	training
369	10016766	5	training
370	10016803	8	training
371	10016807	7	training
372	10016825	6	test
373	10016970	8	training
374	10017062	0	training
375	10017367	0	training
376	10017413	2	training
377	10017533	7	test
378	10017577	9	training
379	10017626	7	validation
380	10017642	0	test
381	10017693	8	test
382	10017711	2	test
383	10017817	0	training
384	10017822	7	training
385	10017826	3	validation
386	10017853	9	validation
387	10017865	5	validation
388	10017885	9	test
389	10017888	8	training
