seed,outer_fold,endpoint_id,endpoint_tier,positive_formula_count,inner_fold
230047,0,ENDPOINT:0001,CORE_30,82,2
230047,0,ENDPOINT:0002,CORE_30,4,0
230047,0,ENDPOINT:0003,CORE_30,34,1
230047,0,ENDPOINT:0005,CORE_30,16,0
230047,0,ENDPOINT:0006,EXPLORATORY_13,1,2
230047,0,ENDPOINT:0008,CORE_30,7,2
230047,0,ENDPOINT:0009,EXPLORATORY_13,4,2
230047,0,ENDPOINT:0011,EXPLORATORY_13,1,0
230047,0,ENDPOINT:0012,CORE_30,20,0
230047,0,ENDPOINT:0015,CORE_30,49,2
230047,0,ENDPOINT:0016,EXPLORATORY_13,1,0
230047,0,ENDPOINT:0017,CORE_30,16,2
230047,0,ENDPOINT:0018,CORE_30,16,1
230047,0,ENDPOINT:0020,CORE_30,40,0
230047,0,ENDPOINT:0021,EXPLORATORY_13,2,1
230047,0,ENDPOINT:0023,CORE_30,75,1
230047,0,ENDPOINT:0026,EXPLORATORY_13,4,0
230047,0,ENDPOINT:0027,CORE_30,68,0
230047,0,ENDPOINT:0028,CORE_30,109,0
230047,0,ENDPOINT:0029,CORE_30,95,1
230047,0,ENDPOINT:0030,CORE_30,3,1
230047,0,ENDPOINT:0032,CORE_30,16,2
230047,0,ENDPOINT:0034,EXPLORATORY_13,4,1
230047,0,ENDPOINT:0035,CORE_30,45,1
230047,0,ENDPOINT:0036,EXPLORATORY_13,1,2
230047,0,ENDPOINT:0041,CORE_30,86,2
230047,0,ENDPOINT:0042,CORE_30,14,2
230047,0,ENDPOINT:0043,CORE_30,11,0
230047,1,ENDPOINT:0002,CORE_30,4,2
230047,1,ENDPOINT:0003,CORE_30,34,0
230047,1,ENDPOINT:0004,CORE_30,16,1
230047,1,ENDPOINT:0007,EXPLORATORY_13,1,1
230047,1,ENDPOINT:0008,CORE_30,7,2
230047,1,ENDPOINT:0010,CORE_30,85,2
230047,1,ENDPOINT:0012,CORE_30,20,1
230047,1,ENDPOINT:0013,CORE_30,65,0
230047,1,ENDPOINT:0014,EXPLORATORY_13,4,1
230047,1,ENDPOINT:0015,CORE_30,49,1
230047,1,ENDPOINT:0017,CORE_30,16,2
230047,1,ENDPOINT:0019,CORE_30,31,0
230047,1,ENDPOINT:0022,CORE_30,109,0
230047,1,ENDPOINT:0023,CORE_30,75,1
230047,1,ENDPOINT:0024,EXPLORATORY_13,1,1
230047,1,ENDPOINT:0025,CORE_30,25,2
230047,1,ENDPOINT:0026,EXPLORATORY_13,4,0
230047,1,ENDPOINT:0029,CORE_30,95,1
230047,1,ENDPOINT:0031,EXPLORATORY_13,1,2
230047,1,ENDPOINT:0032,CORE_30,16,0
230047,1,ENDPOINT:0033,CORE_30,3,0
230047,1,ENDPOINT:0034,EXPLORATORY_13,4,2
230047,1,ENDPOINT:0036,EXPLORATORY_13,1,0
230047,1,ENDPOINT:0037,EXPLORATORY_13,1,0
230047,1,ENDPOINT:0038,CORE_30,47,2
230047,1,ENDPOINT:0039,CORE_30,12,1
230047,1,ENDPOINT:0040,CORE_30,12,0
230047,1,ENDPOINT:0041,CORE_30,86,2
230047,2,ENDPOINT:0001,CORE_30,82,2
230047,2,ENDPOINT:0004,CORE_30,16,1
230047,2,ENDPOINT:0005,CORE_30,16,0
230047,2,ENDPOINT:0006,EXPLORATORY_13,1,0
230047,2,ENDPOINT:0007,EXPLORATORY_13,1,2
230047,2,ENDPOINT:0009,EXPLORATORY_13,4,0
230047,2,ENDPOINT:0010,CORE_30,85,2
230047,2,ENDPOINT:0011,EXPLORATORY_13,1,0
230047,2,ENDPOINT:0013,CORE_30,65,1
230047,2,ENDPOINT:0014,EXPLORATORY_13,4,1
230047,2,ENDPOINT:0016,EXPLORATORY_13,1,2
