example_id	herb_id	drug_id	label	split
HDI:00000001	HERB:H00001	DRUG:D00010	1	train
HDI:00000002	HERB:H00001	DRUG:D00070	1	train
HDI:00000003	HERB:H00001	DRUG:D00090	1	train
HDI:00000004	HERB:H00001	DRUG:D00213	1	train
HDI:00000005	HERB:H00001	DRUG:D00245	1	train
HDI:00000006	HERB:H00001	DRUG:D00299	1	train
HDI:00000007	HERB:H00001	DRUG:D00329	1	test
HDI:00000008	HERB:H00001	DRUG:D00531	1	train
HDI:00000009	HERB:H00001	DRUG:D00542	1	train
HDI:00000010	HERB:H00001	DRUG:D00543	1	train
HDI:00000011	HERB:H00001	DRUG:D00551	1	train
HDI:00000012	HERB:H00001	DRUG:D00583	1	test
HDI:00000013	HERB:H00001	DRUG:D00597	1	train
HDI:00000014	HERB:H00001	DRUG:D00601	1	test
HDI:00000015	HERB:H00001	DRUG:D00829	1	train
HDI:00000016	HERB:H00001	DRUG:D00894	1	validation
HDI:00000017	HERB:H00001	DRUG:D01040	1	train
HDI:00000018	HERB:H00001	DRUG:D01046	1	train
HDI:00000019	HERB:H00001	DRUG:D01198	1	test
HDI:00000020	HERB:H00001	DRUG:D01217	1	train
HDI:00000021	HERB:H00002	DRUG:D00551	1	train
HDI:00000022	HERB:H00002	DRUG:D00774	1	train
HDI:00000023	HERB:H00004	DRUG:D00589	1	test
HDI:00000024	HERB:H00005	DRUG:D00010	1	train
HDI:00000025	HERB:H00005	DRUG:D00038	1	train
HDI:00000026	HERB:H00005	DRUG:D00070	1	train
HDI:00000027	HERB:H00005	DRUG:D00078	1	train
HDI:00000028	HERB:H00005	DRUG:D00090	1	train
HDI:00000029	HERB:H00005	DRUG:D00213	1	train
HDI:00000030	HERB:H00005	DRUG:D00245	1	train
HDI:00000031	HERB:H00005	DRUG:D00259	1	train
HDI:00000032	HERB:H00005	DRUG:D00299	1	train
HDI:00000033	HERB:H00005	DRUG:D00329	1	test
HDI:00000034	HERB:H00005	DRUG:D00531	1	train
HDI:00000035	HERB:H00005	DRUG:D00542	1	train
HDI:00000036	HERB:H00005	DRUG:D00543	1	train
HDI:00000037	HERB:H00005	DRUG:D00551	1	train
HDI:00000038	HERB:H00005	DRUG:D00576	1	train
HDI:00000039	HERB:H00005	DRUG:D00583	1	test
HDI:00000040	HERB:H00005	DRUG:D00597	1	train
HDI:00000041	HERB:H00005	DRUG:D00601	1	test
HDI:00000042	HERB:H00005	DRUG:D00700	1	train
HDI:00000043	HERB:H00005	DRUG:D00829	1	train
HDI:00000044	HERB:H00005	DRUG:D00894	1	validation
HDI:00000045	HERB:H00005	DRUG:D01040	1	train
HDI:00000046	HERB:H00005	DRUG:D01046	1	train
HDI:00000047	HERB:H00005	DRUG:D01198	1	test
HDI:00000048	HERB:H00005	DRUG:D01217	1	train
HDI:00000049	HERB:H00006	DRUG:D00561	1	test
HDI:00000050	HERB:H00006	DRUG:D00577	1	train
HDI:00000051	HERB:H00006	DRUG:D00580	1	test
HDI:00000052	HERB:H00006	DRUG:D00659	1	train
HDI:00000053	HERB:H00006	DRUG:D00667	1	train
HDI:00000054	HERB:H00006	DRUG:D00918	1	train
HDI:00000055	HERB:H00006	DRUG:D00936	1	validation
HDI:00000056	HERB:H00006	DRUG:D00941	1	train
HDI:00000057	HERB:H00006	DRUG:D00950	1	train
HDI:00000058	HERB:H00006	DRUG:D01017	1	validation
HDI:00000059	HERB:H00008	DRUG:D00043	1	train
HDI:00000060	HERB:H00008	DRUG:D00589	1	test
HDI:00000061	HERB:H00008	DRUG:D00741	1	train
HDI:00000062	HERB:H00008	DRUG:D01036	1	test
HDI:00000063	HERB:H00008	DRUG:D01057	1	train
HDI:00000064	HERB:H00008	DRUG:D01061	1	train
HDI:00000065	HERB:H00008	DRUG:D01174	1	train
HDI:00000066	HERB:H00010	DRUG:D00043	1	train
HDI:00000067	HERB:H00010	DRUG:D00453	1	train
HDI:00000068	HERB:H00010	DRUG:D00508	1	train
HDI:00000069	HERB:H00010	DRUG:D00511	1	train
HDI:00000070	HERB:H00010	DRUG:D00611	1	test
HDI:00000071	HERB:H00010	DRUG:D00751	1	train
HDI:00000072	HERB:H00010	DRUG:D00799	1	validation
HDI:00000073	HERB:H00010	DRUG:D00878	1	train
HDI:00000074	HERB:H00010	DRUG:D00968	1	train
HDI:00000075	HERB:H00010	DRUG:D01036	1	test
HDI:00000076	HERB:H00010	DRUG:D01057	1	train
HDI:00000077	HERB:H00010	DRUG:D01174	1	train
HDI:00000078	HERB:H00010	DRUG:D01455	1	validation
HDI:00000079	HERB:H00010	DRUG:D01465	1	train
HDI:00000080	HERB:H00011	DRUG:D00291	1	train
HDI:00000081	HERB:H00011	DRUG:D00370	1	train
HDI:00000082	HERB:H00015	DRUG:D00010	1	train
HDI:00000083	HERB:H00015	DRUG:D00016	1	train
HDI:00000084	HERB:H00015	DRUG:D00070	1	train
HDI:00000085	HERB:H00015	DRUG:D00090	1	train
HDI:00000086	HERB:H00015	DRUG:D00213	1	train
HDI:00000087	HERB:H00015	DRUG:D00245	1	train
HDI:00000088	HERB:H00015	DRUG:D00259	1	train
HDI:00000089	HERB:H00015	DRUG:D00291	1	train
HDI:00000090	HERB:H00015	DRUG:D00299	1	train
HDI:00000091	HERB:H00015	DRUG:D00329	1	test
HDI:00000092	HERB:H00015	DRUG:D00370	1	train
HDI:00000093	HERB:H00015	DRUG:D00420	1	train
HDI:00000094	HERB:H00015	DRUG:D00457	1	test
HDI:00000095	HERB:H00015	DRUG:D00531	1	train
HDI:00000096	HERB:H00015	DRUG:D00542	1	train
HDI:00000097	HERB:H00015	DRUG:D00543	1	train
HDI:00000098	HERB:H00015	DRUG:D00551	1	train
HDI:00000099	HERB:H00015	DRUG:D00583	1	test
HDI:00000100	HERB:H00015	DRUG:D00597	1	train
HDI:00000101	HERB:H00015	DRUG:D00601	1	test
HDI:00000102	HERB:H00015	DRUG:D00829	1	train
HDI:00000103	HERB:H00015	DRUG:D00894	1	validation
HDI:00000104	HERB:H00015	DRUG:D01040	1	train
HDI:00000105	HERB:H00015	DRUG:D01046	1	train
HDI:00000106	HERB:H00015	DRUG:D01198	1	test
HDI:00000107	HERB:H00015	DRUG:D01217	1	train
HDI:00000108	HERB:H00016	DRUG:D00010	1	train
HDI:00000109	HERB:H00016	DRUG:D00070	1	train
HDI:00000110	HERB:H00016	DRUG:D00090	1	train
HDI:00000111	HERB:H00016	DRUG:D00116	1	train
HDI:00000112	HERB:H00016	DRUG:D00213	1	train
HDI:00000113	HERB:H00016	DRUG:D00245	1	train
HDI:00000114	HERB:H00016	DRUG:D00299	1	train
HDI:00000115	HERB:H00016	DRUG:D00329	1	test
HDI:00000116	HERB:H00016	DRUG:D00531	1	train
HDI:00000117	HERB:H00016	DRUG:D00542	1	train
HDI:00000118	HERB:H00016	DRUG:D00543	1	train
HDI:00000119	HERB:H00016	DRUG:D00551	1	train
HDI:00000120	HERB:H00016	DRUG:D00583	1	test
HDI:00000121	HERB:H00016	DRUG:D00597	1	train
HDI:00000122	HERB:H00016	DRUG:D00601	1	test
HDI:00000123	HERB:H00016	DRUG:D00707	1	train
HDI:00000124	HERB:H00016	DRUG:D00829	1	train
HDI:00000125	HERB:H00016	DRUG:D00894	1	validation
HDI:00000126	HERB:H00016	DRUG:D01040	1	train
HDI:00000127	HERB:H00016	DRUG:D01046	1	train
HDI:00000128	HERB:H00016	DRUG:D01198	1	test
HDI:00000129	HERB:H00016	DRUG:D01217	1	train
HDI:00000130	HERB:H00017	DRUG:D00035	1	train
HDI:00000131	HERB:H00017	DRUG:D00101	1	validation
HDI:00000132	HERB:H00017	DRUG:D00113	1	train
HDI:00000133	HERB:H00017	DRUG:D00152	1	train
HDI:00000134	HERB:H00017	DRUG:D00155	1	test
HDI:00000135	HERB:H00017	DRUG:D00158	1	train
HDI:00000136	HERB:H00017	DRUG:D00187	1	test
HDI:00000137	HERB:H00017	DRUG:D00188	1	train
HDI:00000138	HERB:H00017	DRUG:D00192	1	train
HDI:00000139	HERB:H00017	DRUG:D00199	1	train
HDI:00000140	HERB:H00017	DRUG:D00212	1	train
HDI:00000141	HERB:H00017	DRUG:D00217	1	train
HDI:00000142	HERB:H00017	DRUG:D00264	1	train
HDI:00000143	HERB:H00017	DRUG:D00285	1	test
HDI:00000144	HERB:H00017	DRUG:D00294	1	test
HDI:00000145	HERB:H00017	DRUG:D00295	1	train
HDI:00000146	HERB:H00017	DRUG:D00299	1	train
HDI:00000147	HERB:H00017	DRUG:D00306	1	validation
HDI:00000148	HERB:H00017	DRUG:D00341	1	train
HDI:00000149	HERB:H00017	DRUG:D00402	1	test
HDI:00000150	HERB:H00017	DRUG:D00453	1	train
HDI:00000151	HERB:H00017	DRUG:D00454	1	train
HDI:00000152	HERB:H00017	DRUG:D00457	1	test
HDI:00000153	HERB:H00017	DRUG:D00472	1	train
HDI:00000154	HERB:H00017	DRUG:D00484	1	test
HDI:00000155	HERB:H00017	DRUG:D00515	1	train
HDI:00000156	HERB:H00017	DRUG:D00539	1	validation
HDI:00000157	HERB:H00017	DRUG:D00609	1	train
HDI:00000158	HERB:H00017	DRUG:D00611	1	test
HDI:00000159	HERB:H00017	DRUG:D00649	1	test
HDI:00000160	HERB:H00017	DRUG:D00741	1	train
HDI:00000161	HERB:H00017	DRUG:D00746	1	train
HDI:00000162	HERB:H00017	DRUG:D00760	1	train
HDI:00000163	HERB:H00017	DRUG:D00809	1	train
HDI:00000164	HERB:H00017	DRUG:D00824	1	test
HDI:00000165	HERB:H00017	DRUG:D00841	1	train
HDI:00000166	HERB:H00017	DRUG:D00913	1	train
HDI:00000167	HERB:H00017	DRUG:D00919	1	test
HDI:00000168	HERB:H00017	DRUG:D00945	1	train
HDI:00000169	HERB:H00017	DRUG:D00956	1	train
HDI:00000170	HERB:H00017	DRUG:D00968	1	train
HDI:00000171	HERB:H00017	DRUG:D00985	1	train
HDI:00000172	HERB:H00017	DRUG:D01036	1	test
HDI:00000173	HERB:H00017	DRUG:D01057	1	train
